"location","fips","st_county"
"32.46875_-109.90625",4009,"AZ_Graham "
"32.46875_-109.96875",4009,"AZ_Graham "
"35.15625_-118.84375",6029,"CA_Kern "
"35.21875_-82.34375",37149,"NC_Polk "
"35.21875_-82.46875",37089,"NC_Henderson "
"35.28125_-82.34375",37089,"NC_Henderson "
"35.28125_-82.40625",37089,"NC_Henderson "
"35.28125_-82.46875",37089,"NC_Henderson "
"35.34375_-119.21875",6029,"CA_Kern "
"35.34375_-119.28125",6029,"CA_Kern "
"35.34375_-119.40625",6029,"CA_Kern "
"35.34375_-82.15625",37149,"NC_Polk "
"35.34375_-82.28125",37149,"NC_Polk "
"35.34375_-82.34375",37089,"NC_Henderson "
"35.34375_-82.40625",37089,"NC_Henderson "
"35.34375_-82.46875",37089,"NC_Henderson "
"35.40625_-119.40625",6029,"CA_Kern "
"35.40625_-82.28125",37089,"NC_Henderson "
"35.40625_-82.34375",37089,"NC_Henderson "
"35.40625_-82.40625",37089,"NC_Henderson "
"35.40625_-82.46875",37089,"NC_Henderson "
"35.46875_-82.34375",37089,"NC_Henderson "
"35.46875_-82.40625",37089,"NC_Henderson "
"35.46875_-82.46875",37021,"NC_Buncombe "
"35.53125_-119.28125",6029,"CA_Kern "
"35.53125_-82.09375",37161,"NC_Rutherford "
"35.53125_-82.40625",37021,"NC_Buncombe "
"35.59375_-119.15625",6029,"CA_Kern "
"35.59375_-119.21875",6029,"CA_Kern "
"35.59375_-119.28125",6029,"CA_Kern "
"35.59375_-119.34375",6029,"CA_Kern "
"35.65625_-119.15625",6029,"CA_Kern "
"35.65625_-119.21875",6029,"CA_Kern "
"35.65625_-119.28125",6029,"CA_Kern "
"35.65625_-119.34375",6029,"CA_Kern "
"35.65625_-120.84375",6079,"CA_San Luis Obispo "
"35.71875_-119.21875",6029,"CA_Kern "
"35.71875_-119.34375",6029,"CA_Kern "
"35.84375_-119.09375",6107,"CA_Tulare "
"35.84375_-119.15625",6107,"CA_Tulare "
"35.84375_-119.21875",6107,"CA_Tulare "
"35.90625_-119.15625",6107,"CA_Tulare "
"35.90625_-119.21875",6107,"CA_Tulare "
"35.90625_-119.28125",6107,"CA_Tulare "
"35.90625_-82.15625",37199,"NC_Yancey "
"35.96875_-119.09375",6107,"CA_Tulare "
"35.96875_-119.15625",6107,"CA_Tulare "
"35.96875_-119.21875",6107,"CA_Tulare "
"35.96875_-119.28125",6107,"CA_Tulare "
"36.03125_-119.09375",6107,"CA_Tulare "
"36.03125_-119.15625",6107,"CA_Tulare "
"36.03125_-119.21875",6107,"CA_Tulare "
"36.03125_-119.34375",6107,"CA_Tulare "
"36.03125_-81.21875",37003,"NC_Alexander "
"36.09375_-119.09375",6107,"CA_Tulare "
"36.09375_-119.15625",6107,"CA_Tulare "
"36.09375_-119.21875",6107,"CA_Tulare "
"36.09375_-119.34375",6107,"CA_Tulare "
"36.09375_-81.09375",37193,"NC_Wilkes "
"36.15625_-119.03125",6107,"CA_Tulare "
"36.15625_-119.09375",6107,"CA_Tulare "
"36.15625_-119.15625",6107,"CA_Tulare "
"36.15625_-119.21875",6107,"CA_Tulare "
"36.15625_-119.28125",6107,"CA_Tulare "
"36.15625_-119.34375",6107,"CA_Tulare "
"36.15625_-119.40625",6107,"CA_Tulare "
"36.21875_-119.09375",6107,"CA_Tulare "
"36.21875_-119.15625",6107,"CA_Tulare "
"36.21875_-119.21875",6107,"CA_Tulare "
"36.21875_-119.28125",6107,"CA_Tulare "
"36.21875_-119.34375",6107,"CA_Tulare "
"36.21875_-119.40625",6107,"CA_Tulare "
"36.21875_-119.46875",6107,"CA_Tulare "
"36.21875_-119.53125",6031,"CA_Kings "
"36.21875_-119.59375",6031,"CA_Kings "
"36.21875_-119.71875",6031,"CA_Kings "
"36.21875_-119.78125",6031,"CA_Kings "
"36.21875_-119.84375",6031,"CA_Kings "
"36.28125_-119.09375",6107,"CA_Tulare "
"36.28125_-119.15625",6107,"CA_Tulare "
"36.28125_-119.21875",6107,"CA_Tulare "
"36.28125_-119.28125",6107,"CA_Tulare "
"36.28125_-119.34375",6107,"CA_Tulare "
"36.28125_-119.40625",6107,"CA_Tulare "
"36.28125_-119.46875",6107,"CA_Tulare "
"36.28125_-119.53125",6031,"CA_Kings "
"36.28125_-119.59375",6031,"CA_Kings "
"36.28125_-119.65625",6031,"CA_Kings "
"36.28125_-119.71875",6031,"CA_Kings "
"36.28125_-119.78125",6031,"CA_Kings "
"36.28125_-119.84375",6031,"CA_Kings "
"36.34375_-119.09375",6107,"CA_Tulare "
"36.34375_-119.15625",6107,"CA_Tulare "
"36.34375_-119.21875",6107,"CA_Tulare "
"36.34375_-119.28125",6107,"CA_Tulare "
"36.34375_-119.34375",6107,"CA_Tulare "
"36.34375_-119.40625",6107,"CA_Tulare "
"36.34375_-119.46875",6107,"CA_Tulare "
"36.34375_-119.53125",6031,"CA_Kings "
"36.34375_-119.59375",6031,"CA_Kings "
"36.34375_-119.65625",6031,"CA_Kings "
"36.34375_-119.71875",6031,"CA_Kings "
"36.34375_-119.78125",6031,"CA_Kings "
"36.34375_-119.84375",6031,"CA_Kings "
"36.40625_-119.09375",6107,"CA_Tulare "
"36.40625_-119.15625",6107,"CA_Tulare "
"36.40625_-119.21875",6107,"CA_Tulare "
"36.40625_-119.28125",6107,"CA_Tulare "
"36.40625_-119.34375",6107,"CA_Tulare "
"36.40625_-119.40625",6107,"CA_Tulare "
"36.40625_-119.46875",6107,"CA_Tulare "
"36.40625_-119.53125",6031,"CA_Kings "
"36.40625_-119.59375",6031,"CA_Kings "
"36.40625_-119.65625",6031,"CA_Kings "
"36.40625_-119.71875",6031,"CA_Kings "
"36.40625_-119.78125",6019,"CA_Fresno "
"36.40625_-119.84375",6019,"CA_Fresno "
"36.40625_-119.90625",6019,"CA_Fresno "
"36.40625_-121.34375",6053,"CA_Monterey "
"36.40625_-121.40625",6053,"CA_Monterey "
"36.46875_-119.15625",6107,"CA_Tulare "
"36.46875_-119.21875",6107,"CA_Tulare "
"36.46875_-119.28125",6107,"CA_Tulare "
"36.46875_-119.34375",6107,"CA_Tulare "
"36.46875_-119.40625",6107,"CA_Tulare "
"36.46875_-119.46875",6107,"CA_Tulare "
"36.46875_-119.53125",6107,"CA_Tulare "
"36.46875_-119.59375",6031,"CA_Kings "
"36.46875_-119.65625",6019,"CA_Fresno "
"36.46875_-119.71875",6019,"CA_Fresno "
"36.46875_-119.78125",6019,"CA_Fresno "
"36.46875_-119.84375",6019,"CA_Fresno "
"36.46875_-119.90625",6019,"CA_Fresno "
"36.46875_-119.96875",6019,"CA_Fresno "
"36.46875_-120.40625",6019,"CA_Fresno "
"36.46875_-121.34375",6053,"CA_Monterey "
"36.46875_-121.40625",6053,"CA_Monterey "
"36.53125_-119.28125",6107,"CA_Tulare "
"36.53125_-119.34375",6107,"CA_Tulare "
"36.53125_-119.40625",6107,"CA_Tulare "
"36.53125_-119.46875",6107,"CA_Tulare "
"36.53125_-119.53125",6019,"CA_Fresno "
"36.53125_-119.59375",6019,"CA_Fresno "
"36.53125_-119.65625",6019,"CA_Fresno "
"36.53125_-119.71875",6019,"CA_Fresno "
"36.53125_-119.78125",6019,"CA_Fresno "
"36.53125_-119.84375",6019,"CA_Fresno "
"36.53125_-119.90625",6019,"CA_Fresno "
"36.53125_-119.96875",6019,"CA_Fresno "
"36.53125_-120.03125",6019,"CA_Fresno "
"36.53125_-121.40625",6053,"CA_Monterey "
"36.53125_-121.46875",6053,"CA_Monterey "
"36.53125_-121.53125",6053,"CA_Monterey "
"36.59375_-119.34375",6019,"CA_Fresno "
"36.59375_-119.40625",6019,"CA_Fresno "
"36.59375_-119.46875",6019,"CA_Fresno "
"36.59375_-119.53125",6019,"CA_Fresno "
"36.59375_-119.59375",6019,"CA_Fresno "
"36.59375_-119.65625",6019,"CA_Fresno "
"36.59375_-119.71875",6019,"CA_Fresno "
"36.59375_-119.84375",6019,"CA_Fresno "
"36.59375_-119.96875",6019,"CA_Fresno "
"36.59375_-120.09375",6019,"CA_Fresno "
"36.59375_-80.71875",51035,"VA_Carroll "
"36.65625_-119.40625",6019,"CA_Fresno "
"36.65625_-119.46875",6019,"CA_Fresno "
"36.65625_-119.53125",6019,"CA_Fresno "
"36.65625_-119.59375",6019,"CA_Fresno "
"36.65625_-119.65625",6019,"CA_Fresno "
"36.65625_-119.71875",6019,"CA_Fresno "
"36.65625_-119.78125",6019,"CA_Fresno "
"36.65625_-119.84375",6019,"CA_Fresno "
"36.65625_-119.96875",6019,"CA_Fresno "
"36.65625_-120.03125",6019,"CA_Fresno "
"36.65625_-120.09375",6019,"CA_Fresno "
"36.71875_-119.46875",6019,"CA_Fresno "
"36.71875_-119.53125",6019,"CA_Fresno "
"36.71875_-119.59375",6019,"CA_Fresno "
"36.71875_-119.65625",6019,"CA_Fresno "
"36.71875_-119.84375",6019,"CA_Fresno "
"36.71875_-119.90625",6019,"CA_Fresno "
"36.71875_-119.96875",6019,"CA_Fresno "
"36.71875_-120.03125",6019,"CA_Fresno "
"36.71875_-120.09375",6019,"CA_Fresno "
"36.71875_-121.28125",6069,"CA_San Benito "
"36.78125_-119.46875",6019,"CA_Fresno "
"36.78125_-119.53125",6019,"CA_Fresno "
"36.78125_-119.59375",6019,"CA_Fresno "
"36.78125_-119.65625",6019,"CA_Fresno "
"36.78125_-119.96875",6019,"CA_Fresno "
"36.78125_-120.03125",6019,"CA_Fresno "
"36.78125_-120.09375",6019,"CA_Fresno "
"36.78125_-120.15625",6019,"CA_Fresno "
"36.78125_-120.21875",6039,"CA_Madera "
"36.78125_-120.34375",6019,"CA_Fresno "
"36.84375_-119.71875",6019,"CA_Fresno "
"36.84375_-119.84375",6019,"CA_Fresno "
"36.84375_-119.90625",6019,"CA_Fresno "
